sky,matlab_day_index_1based,date
cl,17,2016-07-26
cl,24,2016-08-02
cl,25,2016-08-03
cl,27,2016-08-05
cl,29,2016-08-07
cl,31,2016-08-09
cl,48,2016-08-26
cl,50,2016-08-28
cl,68,2016-09-15
cl,72,2016-09-19
cl,77,2016-09-24
cl,81,2016-09-28
ov,5,2016-07-14
ov,10,2016-07-19
ov,12,2016-07-21
ov,45,2016-08-23
ov,54,2016-09-01
ov,55,2016-09-02
ov,78,2016-09-25
ov,87,2016-10-04
bc,1,2016-07-10
bc,4,2016-07-13
bc,9,2016-07-18
bc,30,2016-08-08
bc,33,2016-08-11
bc,36,2016-08-14
bc,38,2016-08-16
bc,49,2016-08-27
bc,53,2016-08-31
bc,58,2016-09-05
bc,59,2016-09-06
bc,62,2016-09-09
bc,63,2016-09-10
bc,67,2016-09-14
bc,69,2016-09-16
bc,71,2016-09-18
bc,86,2016-10-03
bc,88,2016-10-05
